name,total_fines,lat,lng,code
Ireland,913340800,53.34399,-6.26719,IE
Luxembourg,746268000,49.61167,6.13,LU
France,292294300,48.85341,2.3488,FR
Italy,134901096,41.89193,12.51133,IT
United Kingdom,60861800,51.509865,-0.118092,UK
Germany,59356703,52.52437,13.41053,DE
Spain,43105110,40.4165,-3.70256,ES
Austria,19570950,48.20849,16.37208,AT
Sweden,16232230,59.33258,18.0649,SE
Netherlands,13189500,52.37403,4.88969,NL
Greece,10443000,37.97945,23.71622,GR
Norway,9181250,59.91333,10.73889,NO
Portugal,6154000,38.72225,-9.13934,PT
Poland,3263866,52.22977,21.01178,PL
Bulgaria,3239230,42.69751,23.32415,BG
Denmark,2411050,55.67594,12.56553,DK
Belgium,1665499,50.84655,4.35167,BE
Cyprus,1278000,35.18556,33.38222,CY
Finland,1150800,60.16975,24.93837,FI
Hungary,1087538,47.49801,19.03991,HU
Romania,887350,44.43225,26.10626,RO
Estonia,300604,59.43696,24.75353,EE
Lithuania,214500,54.68715,25.27965,LT
Croatia,213495,45.81501,15.98192,HR
Iceland,195400,64.13548,-21.89541,IS
Czech Republic,178712,50.08804,14.42076,CZ
Latvia,178250,56.94965,24.10518,LV
Slovakia,130600,48.14816,17.10674,SK
Malta,70000,35.89972,14.51472,MT
Isle of Man,17250,54.15,-4.48194,IM
Liechtenstein,4100,47.13972,9.52194,LI
